rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
1,39.98250000000306,-2.36750000000005,0.0860903263092041,0.5411749522760615,0.0256740767508745,64.39429593086243,14,2.1,0.5090909090909091,3.9375000000000004,DC cluster,70000
2,37.79750000000194,-3.542500000000025,0.0202286504209041,0.5846886828737798,0.0299250651150941,81.69039273262024,18,2.6999999999999997,0.6545454545454544,5.062499999999999,DC cluster,90000
3,34.43250000000022,3.4824999999998254,0.1593410074710846,0.4683637781371099,0.036220233887434,273.68339824676514,61,9.15,2.2181818181818183,17.15625,AC three-phase mini-grid,305000
4,36.832500000001446,4.342499999999808,0.0336136072874069,0.6655089272922852,0.0376639477908611,103.41592037677765,23,3.4499999999999997,0.8363636363636363,6.468749999999999,DC cluster,115000
5,34.45750000000023,3.8074999999998176,0.0573738515377044,0.5551965674351134,0.0378869250416755,100.3739926815033,22,3.3,0.7999999999999999,6.187499999999999,DC cluster,110000
6,40.53250000000334,-0.2425000000000951,0.0317897945642471,0.4643800340419974,0.0409767776727676,63.15841197967529,14,2.1,0.5090909090909091,3.9375000000000004,DC cluster,70000
7,36.43250000000124,3.8074999999998176,0.0252116974443197,0.6679701899827712,0.0451856590807437,63.61839163303375,14,2.1,0.5090909090909091,3.9375000000000004,DC cluster,70000
8,35.28250000000065,4.8124999999997975,0.211129829287529,0.5009241917594685,0.0475469678640365,455.5256018638611,101,15.149999999999999,3.6727272727272724,28.406249999999996,AC three-phase mini-grid,505000
9,37.08250000000157,4.25749999999981,0.0146778747439384,0.7484457447818791,0.048886589705944,87.33247327804565,19,2.85,0.6909090909090909,5.34375,DC cluster,95000
10,36.1575000000011,1.532499999999867,0.3434171974658966,0.6261195987997017,0.0510100647807121,79.33154451847076,18,2.6999999999999997,0.6545454545454544,5.062499999999999,DC cluster,90000
11,38.53250000000232,-1.092500000000077,0.0641913339495658,0.5364418099800458,0.052333228290081,258.4351763725281,57,8.549999999999999,2.0727272727272723,16.031249999999996,AC three-phase mini-grid,285000
